date,season,holiday,working_day,weather,temperature_c,feels_like_c,humidity_pct,windspeed_kph,rentals
2011-01-01,spring,no,no,misty,14.1,18.2,80.6,10.7,985
2011-01-02,spring,no,no,misty,14.9,17.7,69.6,16.7,801
2011-01-03,spring,no,yes,clear,8.1,9.5,43.7,16.6,1349
2011-01-04,spring,no,yes,clear,8.2,10.6,59.0,10.7,1562
2011-01-05,spring,no,yes,clear,9.3,11.5,43.7,12.5,1600
2011-01-06,spring,no,yes,clear,8.4,11.7,51.8,6.0,1606
2011-01-07,spring,no,yes,misty,8.1,10.4,49.9,11.3,1510
2011-01-08,spring,no,no,misty,6.8,8.1,53.6,17.9,959
2011-01-09,spring,no,no,clear,5.7,5.8,43.4,24.3,822
2011-01-10,spring,no,yes,clear,6.2,7.5,48.3,15.0,1321
2011-01-11,spring,no,yes,misty,6.9,9.6,68.6,8.2,1263
2011-01-12,spring,no,yes,clear,7.1,8.0,60.0,20.4,1162
2011-01-13,spring,no,yes,clear,6.8,7.5,47.0,20.2,1406
2011-01-14,spring,no,yes,clear,6.6,9.4,53.8,8.5,1421
2011-01-15,spring,no,no,misty,9.6,12.4,49.9,10.6,1248
2011-01-16,spring,no,no,clear,9.5,11.7,48.4,12.6,1204
2011-01-17,spring,yes,no,misty,7.2,8.8,53.8,13.0,1000
2011-01-18,spring,no,yes,misty,8.9,11.6,86.2,9.8,683
2011-01-19,spring,no,yes,misty,12.0,14.9,74.2,14.0,1650
2011-01-20,spring,no,yes,misty,10.7,12.8,53.8,13.1,1927
2011-01-21,spring,no,yes,clear,7.3,7.9,45.7,23.7,1543
2011-01-22,spring,no,no,clear,2.4,4.0,40.0,11.5,981
2011-01-23,spring,no,no,clear,4.0,4.9,43.7,16.5,986
2011-01-24,spring,no,yes,clear,4.0,5.9,49.2,10.6,1416
2011-01-25,spring,no,yes,misty,9.2,11.7,61.7,8.7,1985
2011-01-26,spring,no,yes,light rain or snow,8.9,10.2,86.2,19.7,506
2011-01-27,spring,no,yes,clear,8.0,11.0,68.8,7.6,431
2011-01-28,spring,no,yes,misty,8.3,11.2,79.3,8.3,1167
2011-01-29,spring,no,no,clear,8.1,10.6,65.2,9.7,1098
2011-01-30,spring,no,no,clear,8.9,12.5,72.2,5.0,1096
2011-01-31,spring,no,yes,misty,7.4,9.3,60.4,12.5,1501
2011-02-01,spring,no,yes,misty,7.9,11.7,83.0,3.6,1360
2011-02-02,spring,no,yes,misty,10.7,12.7,77.5,17.7,1526
2011-02-03,spring,no,yes,clear,7.7,8.9,43.8,18.6,1550
2011-02-04,spring,no,yes,misty,8.7,11.4,58.5,8.6,1708
2011-02-05,spring,no,no,misty,9.6,12.2,92.9,10.8,1005
2011-02-06,spring,no,no,clear,11.7,14.6,56.8,9.5,1623
2011-02-07,spring,no,yes,clear,11.1,15.2,73.8,3.0,1712
2011-02-08,spring,no,yes,clear,9.1,9.9,53.8,24.3,1530
2011-02-09,spring,no,yes,misty,5.5,7.2,49.5,12.7,1605
2011-02-10,spring,no,yes,clear,5.9,7.5,43.7,14.9,1538
2011-02-11,spring,no,yes,clear,7.8,10.7,50.6,7.3,1746
2011-02-12,spring,no,no,clear,9.1,11.6,54.4,13.6,1472
2011-02-13,spring,no,no,clear,13.0,16.2,45.7,17.5,1589
2011-02-14,spring,no,yes,clear,17.0,19.9,37.6,28.0,1913
2011-02-15,spring,no,yes,clear,10.9,12.7,31.4,19.5,1815
2011-02-16,spring,no,yes,clear,13.0,15.8,42.3,16.9,2115
2011-02-17,spring,no,yes,clear,17.9,21.4,50.5,15.4,2475
2011-02-18,spring,no,yes,clear,21.4,25.6,51.7,17.7,2927
2011-02-19,spring,no,no,clear,16.4,19.6,18.8,34.0,1635
2011-02-20,spring,no,no,clear,11.7,13.9,40.8,15.0,1812
2011-02-21,spring,yes,no,misty,12.4,14.2,60.5,20.6,1107
2011-02-22,spring,no,yes,clear,7.5,9.3,57.8,13.1,1450
2011-02-23,spring,no,yes,clear,9.1,12.3,42.3,6.3,1917
2011-02-24,spring,no,yes,misty,12.1,14.5,69.7,16.8,1807
2011-02-25,spring,no,yes,misty,14.9,17.5,71.2,23.2,1461
2011-02-26,spring,no,no,clear,11.6,14.1,53.8,12.5,1969
2011-02-27,spring,no,no,clear,14.1,17.6,68.0,8.4,2402
2011-02-28,spring,no,yes,misty,16.7,20.0,87.6,19.4,1446
2011-03-01,spring,no,yes,clear,10.9,13.2,53.5,14.5,1851
2011-03-02,spring,no,yes,clear,13.7,16.0,45.0,20.6,2134
2011-03-03,spring,no,yes,clear,8.1,10.0,31.8,15.1,1685
2011-03-04,spring,no,yes,misty,10.7,12.8,61.0,13.6,1944
2011-03-05,spring,no,no,misty,15.8,18.9,78.9,16.9,2077
2011-03-06,spring,no,no,misty,15.4,18.3,94.8,23.0,605
2011-03-07,spring,no,yes,clear,10.7,11.9,55.1,22.9,1872
2011-03-08,spring,no,yes,clear,12.0,15.1,42.1,8.1,2133
2011-03-09,spring,no,yes,misty,12.1,14.3,77.5,14.8,1891
2011-03-10,spring,no,yes,light rain or snow,16.0,19.3,0.0,17.5,623
2011-03-11,spring,no,yes,misty,13.0,15.2,65.0,15.6,1977
2011-03-12,spring,no,no,clear,13.5,16.3,59.5,14.8,2132
2011-03-13,spring,no,no,clear,15.8,19.0,52.7,18.1,2417
2011-03-14,spring,no,yes,clear,13.3,16.6,49.7,9.2,2046
2011-03-15,spring,no,yes,misty,13.0,15.9,65.6,12.3,2056
2011-03-16,spring,no,yes,misty,15.0,18.3,77.7,13.6,2192
2011-03-17,spring,no,yes,clear,17.0,20.5,60.3,14.0,2744
2011-03-18,spring,no,yes,clear,22.1,26.4,52.5,15.5,3239
2011-03-19,spring,no,no,clear,19.4,23.3,37.9,24.7,3117
2011-03-20,spring,no,no,clear,13.6,16.3,47.4,13.9,2471
2011-03-21,summer,no,yes,misty,17.6,20.5,73.7,19.3,2077
2011-03-22,summer,no,yes,clear,18.1,22.0,62.5,15.1,2703
2011-03-23,summer,no,yes,misty,14.2,16.9,84.0,15.7,2121
2011-03-24,summer,no,yes,misty,11.7,13.5,80.6,16.3,1865
2011-03-25,summer,no,yes,clear,10.8,12.8,49.5,15.5,2210
2011-03-26,summer,no,no,clear,10.9,12.9,39.4,14.0,2496
